puntaje,reseña
9,"Beautiful, simple game of strategically arranging cubes in a small area to match scoring buildings. Very enjoyable, pleasant and playable with beginners.

May 2025 Used"
5.5,This game feels like it will often end with regrets just because of how early placements are so influential on the later game.
,"1-6p (3b), 60m, 2c, city building. Won 2020 Best at Origins"
8,"*
The only game I know of that plays equally well - and equally quickly - at one player, six players, or anywhere else in between. The solo game is quite different than the multi-player game but it's nicely done. A real brainburner considering it's a ""light"" family game. Theme is tacked on but cute, great abstract puzzle."
7.5,"If you like Tetras, you should like this. That's all you really need for the description.

Components: 8
Art: 8
Theme: 7
Mechanism: 7.5
Enjoyment: 7"
7,"This one falls into that “Smurf-and-write sans writing” category. It’s a game where each turn an option is revealed, and players simultaneously decide what to do with that option on their personal player boards. In my collection, Karuba and Draftosaurus are our go-to titles in this style for kids and non-gamers. Tiny Towns is a step up in complexity, presenting more options and lots of variability - but it’s still a rather simple game. The hook here is that players take turns being the “Master Builder” each round - a role that comes with immense power (and a tiny wooden hammer). When you’re the MP, you get to decide which type of resource everyone will get to use during that round, so you’re the only one at the table who is sure to be satisfied. This makes the game highly social, as players cry out in agony or practically weep with gratitude when you announce your decision. Obviously, things get increasingly tense as the game progresses and people’s 4x4 grids begin to fill up. Another aspect that makes this game addictive and intriguing is the manner in which resources are placed and then converted into buildings. You are tasked with matching the colored block pattern of your intended structure in order to manifest it, and then all the cubes you used are removed and the building is placed on the space where one of those cubes resided. As your board fills with lots of cubes representing different things you’re hoping to build, you need to pay close attention to which buildings you finish first to make room for the others that need more space to complete. It’s not easy to explain, but there’s an interesting spacial puzzle here, and a sense of major relief when you finish that one structure that’s getting in the way of everything else. Everyone begins the game with a private structure they will be able to build if desired, and each of these have unique rule-breaking abilities or ways of scoring points. Some of them seem to be a bit overpowered, though - there’s definitely a balance issue here. Another frequent weak spot is how the randomly selected menu of basic structures tends to present some scoring synergies so blatant that everyone at the table will be working on the same thing - but the power of your unique structure sometimes corrects this by incentivizing another route. It is also not uncommon for a player to get completely hosed throughout a game, which can put a damper on the mood. But ultimately, the gameplay here is breezy and fun, with lots of grueling decisions and big emotional moments. Production-wise, Tiny Towns is aces. Beautiful box art. An abundant and broad assortment of vibrantly colored wooden buildings and cubes. A perfectly executed rule book. Even an insert that actually does its job efficiently. No matter which way you turn this box on your shelf, it cries out to be played with its pleasing aesthetics."
8,"It's a fun, thinky abstract game. It plays quickly, usually with a little analysis paralysis built it. The expansions don't add anything necessary, I believe, except for the extra building options."
8,I describe this game as Tetris meets Catan for pacificists. A really fun game that is easy to play with a large group of people and casual enough to have conversations without having to be overly competitive or strategic.
7,"Fun game solitaire or with others, I see no dip in the enjoyment either way. Good game!"
,2024-11-09 Trade for Stone Age - includes Villagers and Fortune expansions. SOLD 3-22-25 $30
7,"Zatu Games, January 2024
Area management / tetris style game of building a town. I enjoy this puzzle game a lot but not popular at group."
7,[NR] (*) Played this on the 2023 Dice Tower Cruise. I really like this one and need to get a copy.
6.5,"Base Game
Fortune
Villagers
Architects
-----------------------------------------------------------------------------
Tiny Trees
Pirate's Den Promo Card
FLGS Promo Card
Larkstone Promo Card
McPherson Manor Promo Card"
,Includes upgraded printed drawstring storage bags. Meeple stickers. Upgraded TopShelfGamer resource bits. Insert. Expansions.
6,"Reminiscent of Kingdomino for me. This one is surprisingly tense and crunchy due to its small player board. Could be the recency bias but I think I prefer this one, it feels more like a real game and accommodates more players."
7,A simple game on the surface but actually a lot more puzzle like on how you will fit your buildings in and get the materials you need. I think I would like it more with more playthroughs
8,"|+| Tight board space lends to difficult but fruitful decisions. Feels ok to get trapped. Analysis paralysis seems easy to avoid with limit of options. Variable setup and building simplicity makes widely replayable.
Well integrated expansions. Colorful, fun palette.

|-| Why is the box so big? Expansion or two could have been included in original design, as orig design sometimes feels a bit shallow."
7,"Jam city. Tiny Towns is a fantastic family game that helps highlight some of the awesome things that can come from modern board games.

The expansions add a lot to the game without a ton of rules overhead."
7.8,"Each turn one player called a resource, then everyone must put it in his/her board. You want your cubes on your 4X4 grids to match one of the patterns printed on the cards on the table so that you can build a specific building on that card. You also have your personal goal which is hidden from others until you build it. Easy to teach, enough meat, has a spatial aspect. You can also play with a town hall rules which we like better."
,"An otherwise simple game improved by a rather fascinating rule: players get to choose what resource everybody has to play.

The whole game, as far as I am concerned, is looking at other players' boards and calling out exactly the resource that will screw them over, while simultaneously trying your damnedest to avoid allowing your fellow players to do the same to you.

In the first few plays of this game my friends and I were routinely scoring three or more points per building. Once we realized how vicious the game can be, 2 points per building would be generous! Start playing ""defense"" and it's a whole new game.

In this regard, anyone who thinks Tiny Towns is ""multiplayer solitaire"" is either extremely new to the game or quite foolish - you cannot win this game if you aren't looking at everyone's town at once!

My copy came with a deck of cards so you can play Tiny Towns as a multiplayer solitaire game, but I can't imagine ever playing with it. I also doubt I would play with more than four players... and three is probably best. Higher player counts discourage thwarting individual opponents as other players will likely gain."
9,"Simple yet thinky trying to place all your buildings (cubes) on your board.

2025- repurchased after playing with friends again. Includes Villagers and Fortune."
7,"Very good light/mid weight game. You can teach it in 5 minutes and it's pretty fascinating. Yes it involves a lot of luck, but its fun and quick and it doesn't make it feel bad."
8,"Each turn one player chooses a resource which all players must place on their relatively small town board. The goal is to match patterns and then replace the matched resources with buildings which score points according to various conditions printed on the building card. Instead of choosing resources they can be selected by drawing a random card, turning the game into a flip and write. I prefer to have a player choosing a resource as for the extra interaction it provides, particularly at lower player counts. There are a reasonable number of variables to balance whilst playing and decent variety in the set of building cards."
6,"Really nice puzzle game. Easy to learn, but lots to think about. In the same category as Sagrada, Reef, Azul, etc. This could end up my favourite; will need more plays to say for sure.

Revisiting this several years later and I'm lowering my rating slightly. I usually really enjoy these light puzzle games, but the master builder mechanic brings down the enjoyment."
7,"Brain draining, for sure, not sure how I feel about how fun it is

Tried it again with drafting, much better."
7,Very well designed and good at what it does. There's quite a bit of variability in the base game box and the expansions can add even more. It plays quickly once set up and lends itself to multiple plays in a row. Also works great for playing remotely!
5,"With many players i.e. 3+, especially relevant to those new to the game, you can get caught in a situation where you've dug a hole for yourself and are booted from the game, forced to wait for the rest of the players to finish."
7,"I honestly really like the game. The problem is, for new players, there is too much technical language and concepts where they will get confused, consult the rulebook, build wrong under poor assumptions, etc. There needed or needs to be some simpler cards or buildings OR you must play with players comfortable with reading board and card game language. If you are playing with players who are comfortable with that stuff intimately they may elect instead to play something more complex or more strategic. It's in a weird spot between complexity and playability imo"
