Sujeto,Relación,Objeto
Tiny Towns,Primary Name,Tiny Towns
Tiny Towns,Alternate Names,Městečka na dlani
Tiny Towns,Alternate Names,Miasteczka
Tiny Towns,Alternate Names,Les Petites Bourgades
Tiny Towns,Alternate Names,Крихітні Містечка
Tiny Towns,Alternate Names,Крошечные города
Tiny Towns,Alternate Names,มหานครย่อส่วน
Tiny Towns,Alternate Names,タイニータウン
Tiny Towns,Alternate Names,小小城鎮
Tiny Towns,Alternate Names,타이니 타운
Tiny Towns,Year Released,2019
Tiny Towns,Designer,Peter McPherson
Peter McPherson,Descripcion,"Peter McPherson is a game designer and freelance writer from Upstate New York. His games include Tiny Towns, Wormholes, and Fit to Print."
Peter McPherson,Related Game,Tiny Towns
Peter McPherson,Related Game,Fit to Print
Peter McPherson,Related Game,Wormholes
Peter McPherson,Related Game,Tiny Towns: Fortune
Peter McPherson,Related Game,Tiny Towns: Villagers
Peter McPherson,Related Game,Tiny Towns: Tiny Trees
Tiny Towns,Artists,Gong Studios
Gong Studios,Descripcion,"From website:
Gong Studios is a 2D art outsourcing studio located in Depok, Indonesia. Established in 2010, we specialize in providing art for games, especially mobile, browser, and social games."
Gong Studios,Related Game,Aeon's End
Gong Studios,Related Game,Aeon's End: War Eternal
Gong Studios,Related Game,Clash of Cultures: Monumental Edition
Gong Studios,Related Game,Aeon's End: The New Age
Gong Studios,Related Game,Tiny Towns
Gong Studios,Related Game,Fields of Green
Tiny Towns,Artists,Matt Paquette & Co.
Matt Paquette & Co.,Descripcion,"Matt Paquette & Co. is a boutique creative studio in Ottawa, ON (Canada) that specializes in tabletop games. Their approach of partnering with publishers rather than merely providing creative services for hire produces more immersive and usable games ending in a more robust and rich play experience."
Matt Paquette & Co.,Related Game,Food Chain Magnate
Matt Paquette & Co.,Related Game,Tiny Towns
Matt Paquette & Co.,Related Game,Thunderstone Quest
Matt Paquette & Co.,Related Game,Mystic Vale
Matt Paquette & Co.,Related Game,Merchants of the Dark Road
Matt Paquette & Co.,Related Game,Mariposas
Tiny Towns,Publishers,Alderac Entertainment Group
Alderac Entertainment Group,Descripcion,"Alderac Entertainment Group, or AEG, is a family-owned publisher of tabletop family games.
AEG was formed in the early 1990s and has been continuously owned and operated by President & CEO John Zinser.
History:
AEG began as a publisher of a general interest tabletop gaming magazine named Shadis. Shadis was notable as the first place that Jolly Blackburn's comic Knights of the Dinner Table appeared. Jolly was a co-founder of AEG.
AEG published Legend of the Five Rings and its associated CCG and RPG lines for 20 years (1995-2015).
AEG also created and published card, roleplaying and miniatures games for 7th Sea, Warlord, and Spycraft.
AEG was a successful publisher of d20 OGL game content including a licensed Stargate game; AEG also created and published the World's Largest Dungeon & City products.
AEG discovered the Japanese tabletop designer Seji Kenai and published his game Love Letter. AEG then published Paul Peterson's Smash Up. Those games laid the foundation of AEG's modern family boardgame business.
AEG has been a successful crowdfunding publisher with Thunderstone Quest, Edge of Darkness and Dead Reckoning being notable hits on Kickstrter.
AEG has partnered with our friends at Flatout Games to co-publish many of their titles including the award-winning Cascadia.
AEG works with popular designers like Elizabeth Hargrave (Mariposas & Undergrove); John D Clair (Mystic Vale, Space Base, Ecos, etc.); Pete McPherson (Tiny Towns); Phil Walker-Harding (Mistfit Heroes); Josh Wood (Cat Lady, Let's Go! to Japan) and many more!

Microbadge:
- Alderac Entertainment Group fan"
Alderac Entertainment Group,Related Game,Cascadia
Alderac Entertainment Group,Related Game,War Chest
Alderac Entertainment Group,Related Game,Istanbul
Alderac Entertainment Group,Related Game,Space Base
Alderac Entertainment Group,Related Game,Calico
Alderac Entertainment Group,Related Game,Love Letter
Tiny Towns,Publishers,All In Games
All In Games,Descripcion,Polish boardgame publisher.
All In Games,Related Game,Tiny Towns
All In Games,Related Game,The Lost Expedition
